gene_name	max_af	max_af_pop
MYOT	0.0001163	EA&EA
ADAMTS2	0.003053	gnomAD_ASJ
BBS2	0.0103448	gnomADg_AF_asj
PEX12	0.00469	AA&AA
DNAI2	0.003452	gnomAD_ASJ
COL1A2	6.53253e-05	gnomADe_AF_sas
VWF	0.0072	AMR
RMRP	0.0089183	gnomADg_AF_fin
CFTR	0.09801	EA
ITGB2	9.650646593321752e-05	ExAC_AF_AFR
SFTPC	1.49947518368571e-05	ExAC_AF_NFE
PSAP	0.0005658	gnomAD_AMR
TMEM231	0.000330469	gnomADe_AF_oth
ABCG5	0.000870417	gnomADe_AF_eas
LARS2-AS1	0.002	EUR
CCN6	3.27054e-05	gnomADe_AF_sas
PMP22	2.978e-05	gnomAD_AMR
FARS2	0.000114784	gnomADg_AF_afr
ZNF469	4.41423e-05	gnomADe_AF_sas
RAB27A	0.0001831	gnomAD_OTH
TSC2	0.000114837	gnomADg_AF_afr
HNRNPUL2-BSCL2	0.0001016	gnomAD_ASJ
GBA	0.00254042	gnomADe_AF_asj
POMT2	0.000287687	gnomADg_AF_fin
RIT1	1.5024489918567265e-05	ExAC_AF_NFE
FERMT1	0.001173	AA
IRAK4	0.00118203	gnomADg_AF_amr
NSD1	0.0001015	gnomAD_ASJ
SCN1A-AS1	0.00012140342357654485	ExAC_AF_SAS
UGT1A	0.003	EAS
BARD1	0.000641026	gnomADg_AF_eas
CP	4.495324862143371e-05	ExAC_AF_NFE
LAMA2	0.00235849	gnomADg_AF_amr
NDUFS4	0.00030248033877797946	ExAC_AF_FIN
TSC1	0.000114732	gnomADg_AF_afr
PRUNE1	0.000228818	gnomADe_AF_sas
FLAD1	0.000129803	gnomADg_AF_nfe
MAX	1.79e-05	gnomAD_NFE
MTO1	0.001965527668581796	ExAC_AF_FIN
PROKR2	0.0002345	AA
FANCG	0.0002326	EA
DHDDS	0.0137931	gnomADg_AF_asj
PROM1	0.0004852	AA
ACTA2-AS1	6.4792e-05	gnomADg_AF_nfe
DEGS1	0.000251889	gnomADe_AF_oth
GAA	0.0137931	gnomADg_AF_asj
PIGQ	0.00117925	gnomADg_AF_amr
RSPH4A	0.0043	AMR
MAPT	4.62535e-05	gnomADe_AF_fin
ITPR1	0.00010208248264597796	ExAC_AF_AFR
CYLD	1.804e-05	gnomAD_NFE
SHANK3	0.01285	EA
MYBPC3	0.000641026	gnomADg_AF_eas
MLC1	0.00344828	gnomADg_AF_asj
COL5A1	9.63391e-06	gnomADe_AF_nfe
DOCK6	0.0003592	EA
HMGCS2	0.000919118	gnomADg_AF_oth
BBS1	0.0043	AMR
SNTA1	0.0001163	EA
ZAP70	1.5216531239538634e-05	ExAC_AF_NFE
CEP85L	6.48172e-05	gnomADg_AF_nfe
ACTC1	0.000129651	gnomADg_AF_nfe
IFNGR1	3.52014e-05	gnomADe_AF_nfe
SCN9A	0.00012140342357654485	ExAC_AF_SAS
CLMP	0.0001016	gnomAD_ASJ
COQ8A	0.0026791	gnomADe_AF_asj
LYST	6.05913717886573e-05	ExAC_AF_SAS
ADAT3	0.0001628	gnomAD_EAS
RIF1	0.00344828	gnomADg_AF_asj
TGM1	0.002207505518763797	ExAC_AF_OTH
OTUD6B	0.0026343519494204425	ExAC_AF_AMR
METTL23	0.0003721622627465575	ExAC_AF_SAS
MVK	0.0009079	AA
BTD	0.0559457	gnomADe_AF_fin
KCNH2	0.001	EUR
ETFA	0.0002329	EA
CDC73	6.49519e-05	gnomADg_AF_nfe
COL17A1	0.00092081	gnomADg_AF_oth
RAB3GAP1	6.48845e-05	gnomADg_AF_nfe
TTN	0.00344828	gnomADg_AF_asj
PINK1-AS	0.001	EAS
HAX1	0.0004846	EA&EA
BEST1	0.00250082	gnomADe_AF_eas
CYP4V2	0.001102	gnomAD_EAS
ACADVL	0.0024047855231911506	ExAC_AF_NFE
HADHB	0.000114732	gnomADg_AF_afr
SETX	0.0007039	AA
GH-LCR	0.00020990764063811922	ExAC_AF_AMR
DHTKD1	6.002e-05	gnomAD_EAS
ACADS	0.0076	AFR
COL7A1	0.002	EUR
CHST6	0.000583961	gnomADg_AF_nfe
GDF1	0.00138504	gnomADg_AF_oth
HAAO	0.0001829	gnomAD_OTH
BBS10	0.00689655	gnomADg_AF_asj
PC	0.00019308746862328635	ExAC_AF_AFR
CNGA1	0.00276243	gnomADg_AF_oth
C1QTNF3-AMACR	0.0013428827215756492	ExAC_AF_AFR
IFIH1	0.000165289	gnomADe_AF_oth
PIGN	0.0003829	EA
PGM1	9.7988e-05	gnomADe_AF_sas
NPC2	0.0001652	gnomAD_NFE
RP1	0.00118203	gnomADg_AF_amr
WNK1	0.000114837	gnomADg_AF_afr
ASXL1	0.0314	AA&AA
TANGO2	0.002638522427440633	ExAC_AF_AMR
SGCE	0.000227	AA
ATP2A1	0.0129	AA&AA
COL2A1	1.5759447788949474e-05	ExAC_AF_NFE
LINS1	0.0002326	EA
EPHB4	8.244e-06	ExAC_AF
FIG4	0.0008	AFR
SELENON	0.00344828	gnomADg_AF_asj
F12	0.0014	AMR&AMR
OTOA	0.0002424	EA
CRYAB	0.0001825	gnomAD_OTH
GLA	0.001	gnomADg_AF_eas
SCAMP4	0.0001628	gnomAD_EAS
NEB	0.00344828	gnomADg_AF_asj
CD36	0.0188	EAS
